active,item_id,name,brand,category,price,original_price,discount,badge,specs,keywords,variants,link_shopee,in_stock,updated_at
True,48812712426,Nước rửa chén Vitamin E Pano Hương chanh Sạch dầu mỡ khử mùi tanh dịu da tay Nhiều dung tích,PANO,Nước rửa chén,12350,13140,0.06,BEST_SELLER_TOP_1,Nước rửa chén Vitamin E Pano Hương chanh Sạch dầu mỡ khử mùi tanh dịu da tay Nhiều dung tích,ban chay; best seller; nước rửa chén; pano; vitamin e,PANO,https://shopee.vn/Nước-rửa-chén-Vitamin-E-Pano-Hương-chanh-Sạch-dầu-mỡ-khử-mùi-tanh-dịu-da-tay-Nhiều-dung-tích-i.20523065.48812712426,True,2026-08-18 00:00:00
True,52063408473,[GIÁ RẺ] Bột giặt Pano Hương cam chanh oải hương Sạch quần áo ít cặn lưu hương lâu Túi 300g 2.4kg 5.5kg,PANO,Bột giặt,46350,51500,0.1,BEST_SELLER_TOP_2,[GIÁ RẺ] Bột giặt Pano Hương cam chanh oải hương Sạch quần áo ít cặn lưu hương lâu Túi 300g 2.4kg 5.5kg,ban chay; best seller; bột giặt; cam chanh; pano,PANO,https://shopee.vn/-GIÁ-RẺ-Bột-giặt-Pano-Hương-cam-chanh-oải-hương-Sạch-quần-áo-ít-cặn-lưu-hương-lâu-Túi-300g-2.4kg-5.5kg-i.20523065.52063408473,True,2026-08-18 00:00:00
True,40332260600,Bột giặt ZeO Nha Đam lưu hương kép 400g 720g hương nha đam the mát giặt tay giặt máy dịu nhẹ sạch vết bẩn,ZeO,Bột giặt,17550,27000,0.35,BEST_SELLER_TOP_3,Bột giặt ZeO Nha Đam lưu hương kép 400g 720g hương nha đam the mát giặt tay giặt máy dịu nhẹ sạch vết bẩn,ban chay; best seller; bột giặt; zeo,ZeO,https://shopee.vn/Bột-giặt-ZeO-Nha-Đam-lưu-hương-kép-400g-720g-hương-nha-đam-the-mát-giặt-tay-giặt-máy-dịu-nhẹ-sạch-vết-bẩn-i.20523065.40332260600,True,2026-08-18 00:00:00
True,22487353728,Nước giặt Pano Hương táo dứa hoa nhài đào Làm sạch khử mùi lưu hương lâu Túi 3.5kg,PANO,Nước giặt,95058,202251,0.53,BEST_SELLER_TOP_4,Nước giặt Pano Hương táo dứa hoa nhài đào Làm sạch khử mùi lưu hương lâu Túi 3.5kg,ban chay; best seller; nước giặt; pano,PANO,https://shopee.vn/Nước-giặt-Pano-Hương-táo-dứa-hoa-nhài-đào-Làm-sạch-khử-mùi-lưu-hương-lâu-Túi-3.5kg-i.20523065.22487353728,True,2026-08-18 00:00:00
True,24182154808,Nước tẩy toilet đậm đặc ZeO Hương trái cây Tẩy cặn vôi ố vàng khử mùi hôi Chai 650ml,ZeO,Tẩy Toilet,23000,46000,0.5,BEST_SELLER_TOP_5,Nước tẩy toilet đậm đặc ZeO Hương trái cây Tẩy cặn vôi ố vàng khử mùi hôi Chai 650ml,ban chay; best seller; tẩy toilet; zeo,ZeO,https://shopee.vn/Nước-tẩy-toilet-đậm-đặc-ZeO-Hương-trái-cây-Tẩy-cặn-vôi-ố-vàng-khử-mùi-hôi-Chai-650ml-i.20523065.24182154808,True,2026-08-18 00:00:00
True,21036221733,Nước tẩy quần áo trắng ZeO Javel chai 500ml 1000ml không hương liệu tẩy trắng mạnh diệt khuẩn quần áo bề mặt,ZeO,Nước tẩy trắng Javen,10400,16000,0.35,BEST_SELLER_TOP_6,Nước tẩy quần áo trắng ZeO Javel chai 500ml 1000ml không hương liệu tẩy trắng mạnh diệt khuẩn quần áo bề mặt,ban chay; best seller; javel; nước tẩy trắng javen; zeo,ZeO,https://shopee.vn/Nước-tẩy-quần-áo-trắng-ZeO-Javel-chai-500ml-1000ml-không-hương-liệu-tẩy-trắng-mạnh-diệt-khuẩn-quần-áo-bề-mặt-i.20523065.21036221733,True,2026-08-18 00:00:00
True,49463437973,Nước rửa chén Pano Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay 400g 800g 1.5kg,PANO,Nước rửa chén,13000,22800,0.43,BEST_SELLER_TOP_7,Nước rửa chén Pano Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay 400g 800g 1.5kg,ban chay; best seller; nước rửa chén; pano,PANO,https://shopee.vn/Nước-rửa-chén-Pano-Hương-chanh-tự-nhiên-Sạch-dầu-mỡ-khử-mùi-tanh-dịu-da-tay-400g-800g-1.5kg-i.20523065.49463437973,True,2026-08-18 00:00:00
True,42401783886,[COMBO] 10 gói Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn 10 gói x 20g,ZeO,Nước xả vải,17100,18000,0.05,BEST_SELLER_TOP_8,[COMBO] 10 gói Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn 10 gói x 20g,ban chay; best seller; nano clean; nước xả vải; zeo,ZeO,https://shopee.vn/-COMBO-10-gói-Nước-xả-vải-Nano-Clean-ZeO-Hương-hoa-trắng-xạ-hương-Mềm-vải-giảm-nhăn-10-gói-x-20g-i.20523065.42401783886,True,2026-08-18 00:00:00
True,17978063713,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch quần áo mềm vải lưu hương cả ngày Can 1kg 3.5kg,Oplus,Nước giặt,62100,69000,0.1,BEST_SELLER_TOP_9,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch quần áo mềm vải lưu hương cả ngày Can 1kg 3.5kg,2in1; ban chay; best seller; nước giặt; oplus,Oplus,https://shopee.vn/Nước-giặt-2in1-Oplus-Hương-nước-hoa-Pháp-Sạch-quần-áo-mềm-vải-lưu-hương-cả-ngày-Can-1kg-3.5kg-i.20523065.17978063713,True,2026-08-18 00:00:00
True,19119327902,[SIÊU TIẾT KIỆM] Nước lau sàn Pano Hương Hoa Hạ phấn em bé Sạch sàn khử mùi thơm lâu Chai Can 1kg 3.8kg,PANO,Nước lau sàn,29450,52500,0.44,BEST_SELLER_TOP_10,[SIÊU TIẾT KIỆM] Nước lau sàn Pano Hương Hoa Hạ phấn em bé Sạch sàn khử mùi thơm lâu Chai Can 1kg 3.8kg,ban chay; best seller; nước lau sàn; pano,PANO,https://shopee.vn/-SIÊU-TIẾT-KIỆM-Nước-lau-sàn-Pano-Hương-Hoa-Hạ-phấn-em-bé-Sạch-sàn-khử-mùi-thơm-lâu-Chai-Can-1kg-3.8kg-i.20523065.19119327902,True,2026-08-18 00:00:00
True,49011246861,[COMBO] 2 túi Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải thơm lâu 2 túi tổng 3.6kg,Oplus,Nước giặt,133479,290171,0.54,NEW_ARRIVAL_TOP_1,[COMBO] 2 túi Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải thơm lâu 2 túi tổng 3.6kg,2in1; moi nhat; moi ra; nước giặt; oplus,Oplus,https://shopee.vn/-COMBO-2-túi-Nước-giặt-xả-2in1-Oplus-Hương-nước-hoa-Pháp-Sạch-sâu-mềm-vải-thơm-lâu-2-túi-tổng-3.6kg-i.20523065.49011246861,True,2026-08-18 00:00:00
True,44862653278,Bột giặt Oplus túi 720g 5.5kg hương hoa trắng xạ hương giặt tay giặt máy sạch vết bẩn làm mới quần áo sỉn màu,Oplus,Bột giặt,66000,110000,0.4,NEW_ARRIVAL_TOP_4,Bột giặt Oplus túi 720g 5.5kg hương hoa trắng xạ hương giặt tay giặt máy sạch vết bẩn làm mới quần áo sỉn màu,bột giặt; moi nhat; moi ra; oplus,Oplus,https://shopee.vn/Bột-giặt-Oplus-túi-720g-5.5kg-hương-hoa-trắng-xạ-hương-giặt-tay-giặt-máy-sạch-vết-bẩn-làm-mới-quần-áo-sỉn-màu-i.20523065.44862653278,True,2026-08-18 00:00:00
True,40701777345,[MUA 1 TẶNG 1] Nước hoa treo xe ô tô Pano Hương nước hoa Pháp Khử mùi tỏa hương thư giãn [COMBO] 2 chai,PANO,Tẩy rửa & Giặt giũ,36000,60000,0.4,NEW_ARRIVAL_TOP_5,[MUA 1 TẶNG 1] Nước hoa treo xe ô tô Pano Hương nước hoa Pháp Khử mùi tỏa hương thư giãn [COMBO] 2 chai,moi nhat; moi ra; pano; treo xe; tẩy rửa & giặt giũ,PANO,https://shopee.vn/-MUA-1-TẶNG-1-Nước-hoa-treo-xe-ô-tô-Pano-Hương-nước-hoa-Pháp-Khử-mùi-tỏa-hương-thư-giãn-COMBO-2-chai-i.20523065.40701777345,True,2026-08-18 00:00:00
True,52863457457,Nước lau kính ZeO Hương trà xanh Sáng bóng khô nhanh không để lại vệt Chai 570ml,ZeO,Nước lau kính,30100,43000,0.3,NEW_ARRIVAL_TOP_6,Nước lau kính ZeO Hương trà xanh Sáng bóng khô nhanh không để lại vệt Chai 570ml,moi nhat; moi ra; nước lau kính; zeo,ZeO,https://shopee.vn/Nước-lau-kính-ZeO-Hương-trà-xanh-Sáng-bóng-khô-nhanh-không-để-lại-vệt-Chai-570ml-i.20523065.52863457457,True,2026-08-18 00:00:00
