active,item_id,name,brand,category,price,link_web,in_stock,keywords,updated_at
True,13582347,Bột giặt ZeO Nước Hoa Tím túi 4.5Kg,ZeO,Bột giặt,150000,https://zeo.vn/bot-giat-zeo-khu-mui-manh-me,False,zeo; bột giặt; nước hoa; tím,2026-08-25
True,13582869,Nước giặt PANO Khử Mùi Hương Đam Mê Tím Can 3.8kg,PANO,Nước giặt,170000,https://zeo.vn/nuoc-giat-pano-khu-mui-huong-dam-me-tim-3800,False,pano; nước giặt; tím; khử mùi,2026-08-25
True,13585248,Nước Giặt OPLUS 2in1 Khử Mùi Mềm Vải Tím Can 1kg,Oplus,Nước giặt,47000,https://zeo.vn/nuoc-giat-oplus-khu-mui-1kg-tim,False,oplus; nước giặt; tím; 2in1; khử mùi,2026-08-25
True,13632222,Nước tẩy Javel - ZeO 1 lít,ZeO,Nước tẩy,15000,https://zeo.vn/nuoc-tay-javel-zeo-1lit,False,zeo; nước tẩy; javel,2026-08-25
True,14571256,Bột Giặt OPLUS Tiết Kiệm Nước Túi 2kg,Oplus,Bột giặt,62000,https://zeo.vn/bot-giat-oplus-tiet-kiem-nuoc-2kg,False,oplus; bột giặt; tiết kiệm nước,2026-08-25
True,22085531,Nước giặt Pano Khử Mùi Can Tím 3.8Kg,PANO,Nước giặt,124000,https://zeo.vn/nuoc-giat-pano-khu-mui-can-tim-3800g,False,pano; nước giặt; tím; khử mùi,2026-08-25
True,27456489,"Nước giặt xả ZeO 3in1 Polymer Bạc Diệt Khuẩn Túi 2,2kg",ZeO,Nước giặt xả,111000,https://zeo.vn/nuoc-giat-xa-zeo-3in1-tui-2-2kg,False,zeo; nước giặt xả; 3in1,2026-08-25
True,38863750,"Nước rửa chén Oplus sạch nhanh can 1,5kg",Oplus,Nước rửa chén,37000,https://zeo.vn/nuoc-rua-chen-oplus-sach-nhanh-1-5-kg,False,oplus; nước rửa chén,2026-08-25
True,83638937,Nước giặt Oplus Xanh Ngàn Hoa Dịu Nhẹ Chai 1kg,Oplus,Nước giặt,47000,https://zeo.vn/nuoc-giat-oplus-xanh,False,oplus; nước giặt; xanh,2026-08-25
True,84103652,Nước giặt Zeo BiO Enzyme sạch siêu nhanh 3 phút can 2Kg,ZeO,Nước giặt,89000,https://zeo.vn/nuoc-giat-zeo-bio-enzyme-sach-sieu-nhanh-3-phut-2-kg,False,zeo; nước giặt; enzyme; bio enzyme,2026-08-25
True,84103834,Nước giặt Zeo BiO Enzyme sạch siêu nhanh 3 phút can 9 Kg,ZeO,Nước giặt,237000,https://zeo.vn/nuoc-giat-zeo-bio-enzyme-sach-sieu-nhanh-3-phut-9-kg,False,zeo; nước giặt; enzyme; bio enzyme,2026-08-25
True,84117293,"Nước giặt xả Oplus 2in1 lưu hương kép hương nước hoa Pháp 1,8 Kg",Oplus,Nước giặt xả,67000,https://zeo.vn/nuoc-giat-xa-oplus-2in1-luu-huong-kep-bao-tim-1-8-kg,False,oplus; nước giặt xả; nước hoa; 2in1,2026-08-25
True,84119895,Nước lau sàn Oplus hương sả chanh chai 1kg,Oplus,Nước lau sàn,27000,https://zeo.vn/nuoc-lau-san-oplus-huong-sa-chanh-1-kg,False,oplus; nước lau sàn; chanh; sả chanh,2026-08-25
True,84452351,Nước giặt Oplus Xanh Ngàn Hoa Dịu Nhẹ Can 3.5kg,Oplus,Nước giặt,137000,https://zeo.vn/nuoc-giat-oplus-xanh-ngan-hoa-diu-nhe-can-3-5kg,False,oplus; nước giặt; xanh,2026-08-25
True,84452714,Nước rửa chén ZEO enzyme hương chanh chai 1.5kg,ZeO,Nước rửa chén,37000,https://zeo.vn/nuoc-rua-chen-zeo-enzim-huong-chanh-chai-1500g,False,zeo; nước rửa chén; chanh; enzyme,2026-08-25
True,84453004,Nước rửa chén Pano Vitamin E Túi 3.5kg,PANO,Nước rửa chén,59000,https://zeo.vn/nuoc-rua-chen-pano-vitamin-e-tui-3500,False,pano; nước rửa chén; vitamin e,2026-08-25
True,84479406,"Nước giặt xả Oplus 2in1 hương đỏ quyến rũ chai 3,5kg",Oplus,Nước giặt xả,146000,https://zeo.vn/nuoc-giat-xa-oplus-2in1-huong-do-quyen-ru-chai-3500,False,oplus; nước giặt xả; 2in1,2026-08-25
True,84511753,Nước giặt Pano Khử Mùi Can Xanh 3.8Kg,PANO,Nước giặt,124000,https://zeo.vn/nuoc-giat-pano-khu-mui-can-xanh-3-8kg,False,pano; nước giặt; xanh; khử mùi,2026-08-25
True,84560089,Nước Giặt OPLUS 2in1 Khử Mùi Mềm Vải Tím Can 3.5kg,Oplus,Nước giặt,139000,https://zeo.vn/nuoc-giat-oplus-2in1-khu-mui-mem-vai-tim-can-3500,False,oplus; nước giặt; tím; 2in1; khử mùi,2026-08-25
True,84560744,"Nước giặt xả Oplus 2in1 lưu hương kép hương hoa Peony 1,8 Kg",Oplus,Nước giặt xả,92000,https://zeo.vn/nuoc-giat-xa-oplus-2in1-luu-huong-kep-huong-hoa-peony-1-8-kg,False,oplus; nước giặt xả; peony; 2in1,2026-08-25
